title,artist,album,release_date,genre,rank,chartyear
임과 함께,남진,남진 베스트 1,1972,성인가요/트로트,40,1972

진정 난 몰랐네,임희숙,골든 힛트곡 모음,1972,성인가요/트로트,41,1972

최진사댁 셋째 딸,조영남,조영남 골든,1972,발라드,42,1972

해변의 여인,나훈아,나훈아 베스트 2,1972,성인가요/트로트,43,1972

희야,박일남,언제 오시나요 / 그리운 소식,1972,성인가요/트로트,44,1972

강원도 아리랑,하춘화,하춘화 전곡 BEST HIT,1973,성인가요/트로트,1,1973

고별,홍민,홍민 골든,1973,발라드,2,1973

고향 못 잊어,이태리,남국인 작곡집 - 지난 어느 날,1973,성인가요/트로트,3,1973

그건 너,이장희,이장희,1973,포크/블루스,4,1973

그대여 변치마오,남진,남진 베스트 1,1973,성인가요/트로트,5,1973

그럴수가 있나요,김추자,김추자 베스트 20,1973,성인가요/트로트,6,1973

기다리게 해놓고,방주연,히트곡 모음,1973,"발라드, 성인가요/트로트",7,1973

나는 너를,서유석,송창식 서유석 베스트,1973,포크/블루스,8,1973

내 강산 좋을시구,김세레나,노래백년 가요백년 10,1973,성인가요/트로트,9,1973

달과 함께 별과 함께,김부자,히트 전집,1973,성인가요/트로트,10,1973

돌아와,박우철,사랑사랑 하지마,1973,성인가요/트로트,11,1973

등대지기,은희,은희 골든디럭스 20,1973,성인가요/트로트,12,1973

마른잎,장현,장현 베스트,1973,록/메탈,13,1973

목이 메어,윤항기,"이명진, 김희정 (울지는 말아야지 / 별이 내리는 부두)",1973,성인가요/트로트,14,1973

미련,홍민,Young Festival Vol.2,1973,성인가요/트로트,15,1973

바다의 여인,4월과 5월,한밤중 / 장미,1973,포크/블루스,16,1973

별이 빛나는 밤에,윤항기,윤항기 힛트 앨범,1973,성인가요/트로트,17,1973

봄이 오면 (Hello-A),장미화,내인생 바람에 실어 / 서풍이 부는 날,1973,성인가요/트로트,18,1973

사랑의 모닥불,이용복,골든 베스트 콜렉션,1973,성인가요/트로트,19,1973

사랑의 의지,이수미,8인(人)의 오리지날 힛트 가요,1973,성인가요/트로트,20,1973

서귀포를 아시나요,조미미,조미미 전곡 BEST HIT,1973,발라드,21,1973

서울의 모정,패티김,패티김 베스트 1,1973,성인가요/트로트,22,1973

석양,장현,힛트앨범 (석양/미련),1973,록/메탈,23,1973

소낙비,이연실,고운노래모음,1973,포크/블루스,24,1973

아름다운 강산,김정미,신중현 작품집 김정미 (바람),1973,록/메탈,25,1973

아름다운 것들,양희은,양희은 골든 15,1973,포크/블루스,26,1973

안녕하세요,장미화,내인생 바람에 실어 / 서풍이 부는 날,1973,성인가요/트로트,27,1973

왜 아니올까,김추자,김추자 베스트 20,1973,성인가요/트로트,28,1973

욕심없는 마음,4월과 5월,40th Anniversary,1973,포크/블루스,29,1973

우리들의 이야기,윤형주,섬 청년 마음/어느 사랑의 이야기,1973,포크/블루스,30,1973

잊으라면 잊겠어요,이용복,골든 베스트 콜렉션,1973,성인가요/트로트,31,1973

자정이 훨씬 넘었네,이장희,이장희,1973,포크/블루스,32,1973

작은새,어니언스 (이수영),Precious Memories,1973,발라드,33,1973

잘 있어요,이현,그시절 그노래 3집,1973,성인가요/트로트,34,1973

젊은 초원,남진,남진 베스트 1,1973,성인가요/트로트,35,1973

토요일 밤에,김세환,김세환 베스트,1973,포크/블루스,36,1973

하늘,서유석,생각/타박네/아름다운 사람/가는 세월,1973,포크/블루스,37,1973

행복의 나라,양희은,양희은이 처음부른 노래들,1973,포크/블루스,38,1973

흙에 살리라,홍세민,홍세민 (사랑에 우네/그 여자가 나를 울리네/흙에 살리라),1973,성인가요/트로트,39,1973

가난한 마음,양희은,아침 이슬,1974,포크/블루스,1,1974

개구리 노총각,논두렁 밭두렁,논두렁 밭두렁,1974,성인가요/트로트,2,1974

고향초,홍민,홍민 골든,1974,발라드,3,1974

